YEAR,SEASONCODE,SEASONNAME,HSEASONNAME,SAMPLE,SAMPLENAME,HSAMPLENAME,STATE,STATENAME,SHORTSTATE,HSTATENAME,ROCODE,RONAME,HRONAME,SROCODE,SRONAME,HSRONAME,DISTRICT,DISTRICTNAME,HDISTRICTNAME,SELORDER,EXPT,CROPCODE,CROPNAME,HCROPNAME
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,32,KC GANDAI,खै.छु.गंडई ,1,1,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,32,KC GANDAI,खै.छु.गंडई ,1,2,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,32,KC GANDAI,खै.छु.गंडई ,2,1,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,32,KC GANDAI,खै.छु.गंडई ,2,2,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,9,RAJNANDGAON,राजनंदगांव,1,1,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,9,RAJNANDGAON,राजनंदगांव,1,2,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,9,RAJNANDGAON,राजनंदगांव,1,1,135,PADDY_ HY_IR,धान-उ.ऊ./सिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,9,RAJNANDGAON,राजनंदगांव,1,2,135,PADDY_ HY_IR,धान-उ.ऊ./सिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,9,RAJNANDGAON,राजनंदगांव,1,1,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,9,RAJNANDGAON,राजनंदगांव,1,2,1100,TUR,तुर
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,8,KABIRDHAM,कबीरधाम,1,1,2800,KODOKUTKI,कोदो कुटकी
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,8,KABIRDHAM,कबीरधाम,1,2,2800,KODOKUTKI,कोदो कुटकी
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,8,KABIRDHAM,कबीरधाम,2,1,2800,KODOKUTKI,कोदो कुटकी
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,8,KABIRDHAM,कबीरधाम,2,2,2800,KODOKUTKI,कोदो कुटकी
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,8,KABIRDHAM,कबीरधाम,3,1,2800,KODOKUTKI,कोदो कुटकी
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,8,KABIRDHAM,कबीरधाम,3,2,2800,KODOKUTKI,कोदो कुटकी
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2213,DURG,दुर्ग,23,BEMETARA,बेमेतारा ,1,1,2800,KODOKUTKI,कोदो कुटकी
